epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       202, 32804.749,    0.002,       0.00049489,       8.8851e-06,       0.00050377,        0.378,        0.578,        0.215,        0.556,        0.665,        0.529,        0.491,        0.291,        0.773,        0.904,        0.742,        0.678,          1.3,        0.059,         0.000402,       5.5938e-07,       0.00040256,        0.311,        0.521,        0.178,        0.471,        0.545,        0.392,        0.397,        0.261,        0.716,        0.846,        0.565,        0.597,        0.378,       0.0172
       203, 32960.963,    0.002,       0.00063198,       1.0591e-05,       0.00064257,        0.403,        0.653,        0.224,          0.6,        0.723,        0.567,        0.528,        0.314,        0.875,         1.04,         0.85,        0.769,         1.35,       0.0612,       0.00037618,       3.7345e-07,       0.00037655,         0.31,        0.504,         0.18,        0.471,        0.525,         0.39,        0.392,        0.263,        0.708,        0.746,        0.562,         0.57,        0.275,       0.0125
       204, 33116.825,    0.002,       0.00051347,       7.8217e-06,       0.00052129,         0.37,        0.588,        0.211,        0.547,         0.65,        0.513,         0.48,        0.302,        0.788,        0.912,        0.753,        0.689,         1.15,       0.0521,       0.00037434,       3.7939e-07,       0.00037472,        0.301,        0.502,        0.175,        0.452,        0.529,        0.376,        0.383,        0.256,        0.697,        0.789,         0.55,        0.573,         0.26,       0.0118
       205, 33270.092,    0.002,       0.00064783,       9.9044e-06,       0.00065774,        0.388,        0.661,        0.224,        0.575,        0.676,        0.527,        0.501,        0.336,        0.886,         1.04,        0.826,        0.773,         1.25,       0.0569,       0.00038155,       3.5042e-07,        0.0003819,        0.311,        0.507,        0.183,        0.468,        0.538,        0.383,        0.393,        0.268,        0.702,        0.792,        0.539,        0.575,        0.263,       0.0119
       206, 33423.131,    0.002,       0.00043703,       6.9201e-06,       0.00044395,        0.338,        0.543,        0.194,        0.497,        0.587,        0.476,        0.438,        0.269,        0.725,        0.826,        0.739,         0.64,         1.06,       0.0484,       0.00035296,       2.3749e-07,        0.0003532,        0.294,        0.488,        0.172,        0.444,        0.506,        0.364,        0.372,        0.252,        0.677,        0.765,        0.524,        0.555,        0.197,      0.00895
       207, 33575.924,    0.002,       0.00045895,       8.4247e-06,       0.00046738,        0.356,        0.556,        0.206,        0.524,        0.626,        0.479,        0.459,        0.305,        0.742,        0.863,         0.67,        0.645,         1.24,       0.0565,       0.00034904,       1.9916e-07,       0.00034924,        0.293,        0.485,        0.171,        0.438,         0.52,        0.369,        0.375,        0.252,        0.668,        0.767,         0.53,        0.554,        0.184,      0.00835
       208, 33727.227,    0.002,       0.00050274,       7.7338e-06,       0.00051048,        0.369,        0.582,        0.209,        0.543,        0.643,        0.529,        0.481,        0.285,        0.783,        0.895,        0.775,        0.685,         1.21,       0.0549,       0.00041723,       2.9606e-07,       0.00041753,        0.313,         0.53,        0.177,        0.471,        0.553,        0.411,        0.403,        0.264,        0.731,        0.838,        0.609,         0.61,        0.223,       0.0101
       209, 33876.700,    0.002,       0.00060193,       1.2248e-05,       0.00061418,        0.394,        0.637,        0.225,        0.581,        0.685,        0.552,        0.511,        0.319,        0.857,         0.97,        0.842,        0.747,          1.4,       0.0637,       0.00038652,       2.8845e-07,       0.00038681,         0.31,         0.51,         0.18,        0.467,        0.532,        0.399,        0.395,        0.261,        0.709,        0.773,        0.595,        0.584,        0.229,       0.0104
       210, 34030.737,    0.002,       0.00056331,       7.7626e-06,       0.00057107,        0.316,        0.616,        0.188,        0.455,        0.537,        0.447,        0.407,        0.282,         0.81,        0.914,        0.946,        0.738,        0.909,       0.0413,       0.00033348,       1.7212e-07,       0.00033365,        0.281,        0.474,        0.165,        0.424,        0.483,        0.348,        0.355,        0.243,        0.661,        0.744,        0.505,        0.538,        0.163,      0.00743
       211, 34184.373,    0.002,       0.00053787,       1.1086e-05,       0.00054895,         0.36,        0.602,        0.203,        0.536,        0.639,        0.495,        0.468,        0.282,        0.816,        0.956,        0.776,        0.707,          1.3,       0.0592,       0.00039496,       2.8017e-07,       0.00039524,        0.306,        0.516,        0.174,        0.465,        0.529,        0.392,         0.39,        0.259,        0.719,        0.784,        0.602,        0.591,        0.217,      0.00986
       212, 34338.265,    0.002,       0.00044943,       9.0019e-06,       0.00045843,        0.339,         0.55,        0.192,          0.5,        0.595,        0.475,        0.441,        0.263,        0.749,        0.846,         0.72,        0.645,         1.16,       0.0527,       0.00036061,       2.5688e-07,       0.00036087,        0.291,        0.493,        0.168,        0.439,        0.511,        0.365,        0.371,        0.249,        0.687,        0.764,        0.551,        0.563,        0.206,      0.00938
       213, 34489.794,    0.002,       0.00043173,       6.9964e-06,       0.00043872,        0.358,         0.54,        0.208,        0.523,        0.629,        0.491,        0.463,         0.28,        0.721,        0.849,        0.669,         0.63,         1.15,       0.0521,       0.00035238,       2.7534e-07,       0.00035266,        0.294,        0.487,        0.171,        0.444,         0.52,        0.357,        0.373,        0.252,        0.677,        0.762,        0.525,        0.554,        0.215,      0.00976
       214, 34640.455,    0.002,       0.00046062,       8.1152e-06,       0.00046873,        0.364,        0.557,        0.205,        0.541,        0.635,         0.51,        0.473,        0.278,        0.757,        0.862,        0.701,        0.649,         1.24,       0.0563,       0.00037652,       1.8922e-07,       0.00037671,        0.304,        0.504,        0.174,        0.461,        0.527,         0.39,        0.388,        0.252,        0.697,        0.769,          0.6,         0.58,        0.178,      0.00808
       215, 34791.536,    0.002,       0.00044588,       8.1873e-06,       0.00045407,        0.355,        0.548,        0.204,        0.514,        0.634,        0.508,        0.465,        0.292,        0.711,        0.877,        0.714,        0.648,         1.23,       0.0561,       0.00042716,          6.7e-07,       0.00042783,        0.306,        0.537,        0.176,        0.462,        0.526,        0.403,        0.392,        0.268,        0.733,        0.794,        0.704,        0.625,        0.252,       0.0115
       216, 34942.074,    0.002,       0.00052617,       1.2326e-05,        0.0005385,         0.37,        0.596,        0.211,        0.543,        0.655,        0.521,        0.483,        0.301,        0.782,        0.928,        0.813,        0.706,         1.41,       0.0639,       0.00045481,       2.9283e-07,       0.00045511,         0.32,        0.554,        0.177,        0.481,        0.573,        0.436,        0.417,        0.262,        0.752,        0.921,        0.645,        0.645,        0.219,      0.00996
       217, 35093.183,    0.002,       0.00048605,       8.0907e-06,       0.00049414,        0.351,        0.572,        0.205,        0.511,        0.612,        0.485,        0.453,        0.318,        0.753,        0.884,        0.718,        0.668,         1.16,       0.0527,       0.00033061,       2.1806e-07,       0.00033083,        0.286,        0.472,        0.167,        0.429,        0.492,        0.357,        0.361,         0.25,        0.657,        0.713,         0.52,        0.535,        0.194,       0.0088
       218, 35244.079,    0.002,       0.00039511,       8.2008e-06,       0.00040331,        0.336,        0.516,        0.199,        0.483,        0.579,        0.467,        0.432,        0.287,        0.674,        0.795,        0.664,        0.605,         1.23,       0.0559,        0.0003702,       2.3123e-07,       0.00037043,        0.299,          0.5,        0.171,        0.455,        0.531,        0.372,        0.382,        0.255,        0.698,        0.765,        0.554,        0.568,        0.198,      0.00901
       219, 35394.474,    0.002,       0.00056755,       8.9899e-06,       0.00057654,        0.385,        0.619,        0.221,        0.562,        0.662,        0.555,          0.5,        0.342,        0.817,        0.909,        0.823,        0.723,         1.26,       0.0571,       0.00035879,       2.1266e-07,         0.000359,        0.295,        0.492,        0.171,        0.447,        0.511,        0.362,        0.373,        0.257,         0.69,        0.751,        0.521,        0.555,        0.191,      0.00868
       220, 35545.258,    0.002,       0.00040979,       6.7469e-06,       0.00041654,        0.348,        0.526,        0.198,        0.513,        0.609,        0.494,        0.453,        0.265,        0.708,        0.818,        0.667,        0.615,         1.12,       0.0511,        0.0003958,       6.1164e-07,       0.00039641,        0.311,        0.517,        0.176,        0.477,        0.549,         0.39,        0.398,        0.264,        0.732,        0.772,         0.56,        0.582,        0.376,       0.0171
       221, 35695.991,    0.002,       0.00044251,       7.6894e-06,        0.0004502,        0.354,        0.546,        0.202,        0.521,        0.626,        0.493,         0.46,        0.281,         0.73,        0.857,        0.688,        0.639,         1.14,        0.052,       0.00035622,       2.1585e-07,       0.00035644,        0.295,         0.49,        0.171,        0.449,        0.518,        0.359,        0.374,        0.252,        0.683,        0.773,        0.514,        0.556,        0.214,      0.00972
       222, 35846.400,    0.002,       0.00054203,        8.039e-06,       0.00055007,        0.379,        0.605,        0.216,        0.558,        0.662,         0.53,        0.492,        0.307,        0.813,        0.924,        0.784,        0.707,         1.16,       0.0526,       0.00040382,       3.9838e-07,       0.00040422,        0.314,        0.522,        0.176,        0.482,        0.542,        0.403,        0.401,        0.257,        0.737,        0.788,        0.593,        0.593,        0.276,       0.0126
       223, 35996.738,    0.002,       0.00065026,        1.208e-05,       0.00066234,        0.345,        0.662,        0.194,        0.508,         0.58,        0.527,        0.452,        0.307,        0.881,        0.927,         1.03,        0.787,         1.25,       0.0568,       0.00032688,       2.1577e-07,       0.00032709,        0.281,        0.469,        0.164,        0.424,        0.483,        0.356,        0.357,        0.245,        0.653,        0.711,        0.527,        0.534,        0.191,       0.0087
       224, 36147.995,    0.002,       0.00043459,       8.4487e-06,       0.00044304,        0.334,        0.541,        0.192,        0.494,        0.575,        0.468,        0.432,        0.262,        0.731,        0.837,        0.712,        0.635,         1.16,       0.0525,       0.00039471,       2.3447e-06,       0.00039705,        0.309,        0.516,        0.168,        0.473,        0.522,         0.45,        0.404,         0.25,        0.722,        0.757,        0.645,        0.594,        0.848,       0.0385
       225, 36298.879,    0.002,       0.00081477,       1.2527e-05,        0.0008273,        0.386,        0.741,        0.212,        0.574,        0.671,        0.579,        0.509,         0.31,            1,         1.09,         1.13,        0.882,         1.38,       0.0629,       0.00039808,        6.726e-07,       0.00039876,        0.312,        0.518,        0.178,        0.473,        0.546,        0.401,          0.4,         0.26,        0.716,         0.83,        0.566,        0.593,        0.408,       0.0186
       226, 36449.181,    0.002,       0.00052604,       1.4654e-05,       0.00054069,        0.318,        0.596,        0.182,         0.46,        0.543,         0.49,        0.419,         0.26,        0.774,        0.882,         0.96,        0.719,         1.16,       0.0529,       0.00035991,       2.9307e-07,        0.0003602,        0.295,        0.493,        0.171,        0.447,         0.51,         0.37,        0.374,        0.252,        0.684,        0.768,        0.543,        0.562,        0.221,         0.01
       227, 36599.965,    0.002,       0.00039353,       7.0453e-06,       0.00040058,        0.336,        0.515,        0.193,        0.497,        0.583,        0.473,        0.436,        0.262,        0.696,        0.791,        0.655,        0.601,         1.16,       0.0528,       0.00036396,       2.6036e-07,       0.00036422,        0.291,        0.495,        0.169,        0.437,        0.511,        0.358,        0.369,        0.253,        0.681,        0.798,        0.537,        0.567,        0.183,      0.00831
       228, 36750.284,    0.002,       0.00053217,       9.9602e-06,       0.00054213,        0.371,        0.599,        0.212,        0.539,        0.648,         0.54,        0.485,        0.302,        0.785,        0.933,        0.825,        0.711,         1.23,       0.0558,       0.00038278,       3.6275e-07,       0.00038314,        0.311,        0.508,        0.178,        0.465,        0.556,          0.4,          0.4,        0.261,          0.7,        0.787,        0.586,        0.583,        0.251,       0.0114
       229, 36901.537,    0.002,       0.00052137,       9.6649e-06,       0.00053103,        0.363,        0.593,        0.208,        0.535,        0.633,        0.514,        0.472,        0.305,        0.786,        0.912,        0.788,        0.698,         1.23,       0.0557,       0.00038267,       2.3441e-07,        0.0003829,        0.294,        0.508,        0.168,        0.446,        0.525,        0.362,        0.375,        0.253,        0.703,        0.834,        0.525,        0.579,        0.201,      0.00915
       230, 37050.876,    0.002,        0.0004321,        7.679e-06,       0.00043978,        0.348,         0.54,        0.201,        0.507,        0.608,        0.491,        0.452,        0.278,        0.716,        0.837,        0.709,        0.635,         1.17,       0.0533,       0.00035582,       3.9905e-07,       0.00035622,        0.294,         0.49,         0.17,        0.447,        0.508,        0.367,        0.373,        0.251,        0.687,        0.751,        0.529,        0.555,        0.283,       0.0129
       231, 37204.875,    0.002,       0.00051977,       1.0856e-05,       0.00053063,        0.368,        0.592,        0.207,        0.545,         0.66,        0.511,        0.481,        0.294,        0.788,        0.934,        0.777,        0.698,         1.35,       0.0614,       0.00040864,       3.9209e-07,       0.00040904,        0.309,        0.525,        0.175,        0.474,        0.533,        0.396,        0.395,        0.258,        0.733,        0.821,        0.587,          0.6,        0.272,       0.0124
       232, 37358.383,    0.002,       0.00045076,       7.2114e-06,       0.00045798,        0.348,        0.551,        0.202,         0.51,        0.603,        0.482,        0.449,        0.279,        0.743,        0.866,        0.686,        0.643,         1.13,       0.0512,       0.00038725,       3.5329e-07,        0.0003876,        0.307,        0.511,        0.176,        0.468,        0.537,        0.376,        0.389,        0.263,        0.712,        0.777,        0.578,        0.582,        0.236,       0.0107
       233, 37512.320,    0.002,       0.00044938,       6.6446e-06,       0.00045602,         0.34,         0.55,        0.195,          0.5,        0.585,        0.481,         0.44,         0.27,        0.743,        0.838,        0.734,        0.646,         1.08,       0.0491,       0.00034568,       3.0042e-07,       0.00034598,         0.29,        0.483,        0.167,        0.442,        0.505,         0.36,        0.368,        0.248,        0.676,         0.74,        0.522,        0.547,        0.232,       0.0105
       234, 37662.748,    0.002,       0.00039939,       7.6639e-06,       0.00040705,        0.331,        0.519,        0.192,        0.487,        0.566,        0.466,        0.428,         0.26,        0.695,        0.777,        0.709,         0.61,         1.15,       0.0522,       0.00036264,       2.7173e-07,       0.00036291,        0.295,        0.494,        0.169,        0.449,        0.509,        0.382,        0.377,        0.253,        0.697,        0.734,        0.554,         0.56,        0.217,      0.00988
       235, 37813.329,    0.002,       0.00042531,       6.9573e-06,       0.00043227,        0.337,        0.535,         0.19,          0.5,        0.594,        0.471,        0.439,        0.255,        0.725,        0.831,        0.703,        0.629,         1.13,       0.0514,       0.00034422,       2.4667e-07,       0.00034446,        0.287,        0.482,        0.164,        0.439,        0.503,        0.353,        0.365,        0.245,        0.676,        0.739,        0.525,        0.546,        0.216,       0.0098
       236, 37965.666,    0.002,       0.00051568,       1.2582e-05,       0.00052827,        0.352,         0.59,        0.198,        0.521,        0.608,        0.517,        0.461,        0.279,        0.792,        0.875,        0.842,        0.697,          1.3,       0.0591,       0.00034263,       2.4262e-07,       0.00034287,        0.282,        0.481,        0.161,        0.429,        0.498,        0.357,        0.361,         0.24,        0.674,        0.747,        0.524,        0.546,        0.192,      0.00873
       237, 38119.735,    0.002,       0.00036109,       6.0474e-06,       0.00036714,        0.322,        0.493,        0.182,        0.473,        0.569,        0.459,        0.421,        0.243,        0.656,        0.785,        0.645,        0.582,         1.05,       0.0476,       0.00035465,       2.4135e-07,       0.00035489,        0.288,        0.489,        0.166,         0.44,          0.5,        0.356,        0.365,        0.249,        0.689,        0.755,        0.514,        0.552,        0.192,      0.00873
       238, 38277.730,    0.002,       0.00047066,       8.6747e-06,       0.00047934,        0.364,        0.563,        0.207,        0.541,        0.641,          0.5,        0.472,        0.279,        0.762,        0.894,        0.696,        0.658,         1.28,       0.0581,       0.00036464,       2.1082e-07,       0.00036485,        0.291,        0.496,        0.167,         0.44,        0.521,        0.363,        0.373,        0.249,         0.69,        0.799,        0.515,        0.563,        0.206,      0.00937
       239, 38428.510,    0.002,       0.00038251,       6.0455e-06,       0.00038856,        0.327,        0.508,        0.188,        0.479,        0.567,        0.462,        0.424,        0.255,        0.681,        0.782,        0.667,        0.596,         1.07,       0.0484,       0.00033183,       2.2451e-07,       0.00033206,         0.28,        0.473,        0.161,        0.425,        0.492,        0.349,        0.357,        0.242,        0.661,        0.731,        0.515,        0.537,        0.168,      0.00764
       240, 38577.716,    0.002,       0.00044951,       6.6872e-06,        0.0004562,        0.349,        0.551,        0.197,        0.519,        0.609,        0.494,        0.455,        0.268,        0.748,         0.85,        0.707,        0.643,         1.15,       0.0523,       0.00037203,       3.3813e-07,       0.00037236,        0.292,        0.501,        0.166,        0.441,        0.524,        0.365,        0.374,         0.25,        0.696,        0.801,        0.538,        0.571,        0.269,       0.0122
       241, 38728.664,    0.002,       0.00049358,       8.3179e-06,        0.0005019,        0.364,        0.577,        0.207,        0.528,        0.663,        0.517,        0.479,         0.28,        0.751,        0.948,        0.774,        0.688,         1.23,       0.0561,       0.00037126,       3.0089e-07,       0.00037156,          0.3,          0.5,        0.171,        0.452,        0.542,        0.372,        0.384,        0.251,        0.684,        0.824,        0.541,        0.575,        0.227,       0.0103
       242, 38884.274,    0.002,       0.00035688,        6.601e-06,       0.00036348,        0.313,        0.491,        0.179,         0.46,        0.551,        0.434,        0.406,        0.242,        0.658,        0.777,        0.627,        0.576,         1.03,       0.0468,       0.00034505,       3.3198e-07,       0.00034539,        0.289,        0.482,        0.165,        0.438,        0.508,         0.36,        0.368,        0.245,        0.678,         0.74,        0.522,        0.546,        0.242,        0.011
       243, 39039.096,    0.002,       0.00053173,       9.7906e-06,       0.00054152,        0.369,        0.599,         0.21,        0.545,        0.653,        0.513,         0.48,        0.293,        0.806,        0.942,        0.768,        0.702,         1.24,       0.0566,        0.0003603,       2.9547e-07,        0.0003606,        0.295,        0.493,         0.17,        0.448,        0.515,        0.364,        0.374,        0.252,        0.691,        0.753,         0.54,        0.559,        0.204,      0.00927
       244, 39193.923,    0.002,       0.00038431,       9.2734e-06,       0.00039358,        0.322,        0.509,        0.187,        0.471,        0.563,        0.444,        0.416,        0.262,        0.672,        0.801,        0.666,          0.6,         1.15,       0.0523,       0.00034713,       2.5019e-07,       0.00034738,        0.285,        0.484,        0.165,        0.431,        0.495,        0.356,        0.362,        0.247,         0.68,        0.738,        0.527,        0.548,        0.209,       0.0095
       245, 39349.747,    0.002,       0.00043052,       7.4976e-06,       0.00043802,        0.339,        0.539,        0.193,          0.5,        0.595,        0.479,        0.442,        0.273,        0.717,        0.829,        0.716,        0.634,         1.16,       0.0527,        0.0003481,       3.3513e-07,       0.00034843,         0.29,        0.484,        0.167,        0.436,        0.515,        0.364,        0.371,        0.245,        0.672,        0.767,        0.525,        0.552,        0.219,      0.00996
       246, 39503.866,    0.002,       0.00039522,       7.2545e-06,       0.00040248,        0.322,        0.516,        0.185,        0.469,        0.569,        0.455,        0.419,        0.304,        0.659,        0.792,         0.67,        0.606,          1.1,       0.0502,       0.00032607,       2.2449e-07,       0.00032629,        0.279,        0.469,        0.162,        0.424,         0.48,        0.345,        0.353,        0.239,        0.658,        0.718,         0.51,        0.531,        0.193,      0.00877
       247, 39661.911,    0.002,       0.00054669,       1.0959e-05,       0.00055765,        0.366,        0.607,        0.204,        0.542,        0.645,        0.532,        0.481,        0.284,        0.812,        0.931,        0.852,         0.72,         1.31,       0.0595,       0.00042334,       6.2683e-07,       0.00042397,        0.324,        0.534,        0.181,        0.501,        0.565,        0.407,        0.413,        0.265,        0.757,        0.815,        0.579,        0.604,        0.349,       0.0159
       248, 39816.685,    0.002,       0.00040991,       7.1033e-06,       0.00041702,        0.318,        0.526,        0.186,        0.464,        0.543,        0.454,        0.412,        0.268,        0.698,        0.785,        0.728,         0.62,         1.01,       0.0461,       0.00032951,       1.8036e-07,       0.00032969,        0.281,        0.471,        0.162,        0.422,        0.494,        0.355,        0.358,        0.239,         0.65,        0.746,        0.524,         0.54,         0.18,      0.00818
       249, 39971.546,    0.002,       0.00042778,       7.9092e-06,       0.00043569,        0.339,        0.537,        0.193,          0.5,        0.598,        0.468,         0.44,        0.281,        0.724,        0.827,        0.665,        0.624,         1.18,       0.0538,       0.00036354,       4.6634e-07,         0.000364,        0.294,        0.495,        0.167,        0.452,        0.509,        0.369,        0.374,        0.247,          0.7,        0.739,        0.558,        0.561,        0.328,       0.0149
       250, 40128.060,    0.002,       0.00042266,       6.4159e-06,       0.00042908,        0.326,        0.534,        0.192,        0.477,        0.555,        0.448,        0.418,         0.31,         0.69,        0.798,        0.702,        0.625,         1.01,       0.0459,       0.00032815,       1.8925e-07,       0.00032834,         0.28,         0.47,        0.161,        0.427,         0.48,        0.355,        0.356,        0.241,        0.661,        0.713,        0.516,        0.533,        0.178,      0.00808
       251, 40282.985,    0.002,       0.00040104,       6.7334e-06,       0.00040778,        0.334,         0.52,        0.194,        0.495,         0.57,        0.463,         0.43,        0.269,        0.708,        0.782,        0.652,        0.603,         1.11,       0.0506,         0.000414,       5.9221e-07,       0.00041459,         0.31,        0.528,        0.173,        0.485,        0.544,        0.377,        0.395,        0.252,        0.761,        0.795,        0.565,        0.593,        0.361,       0.0164
       252, 40437.851,    0.002,        0.0003992,       6.2292e-06,       0.00040543,         0.33,        0.519,         0.19,        0.486,        0.573,        0.461,        0.428,        0.285,         0.69,        0.783,        0.656,        0.604,         1.06,       0.0483,        0.0003807,       3.9784e-07,        0.0003811,        0.301,        0.507,         0.17,        0.461,        0.523,        0.387,        0.385,        0.253,        0.697,        0.761,        0.637,        0.587,        0.234,       0.0106
       253, 40592.783,    0.002,       0.00037214,       6.9198e-06,       0.00037906,        0.327,        0.501,         0.19,         0.48,        0.568,        0.452,        0.422,        0.272,        0.668,        0.768,        0.624,        0.583,         1.13,       0.0514,       0.00034223,       2.5352e-07,       0.00034249,        0.286,         0.48,        0.164,        0.439,         0.49,         0.36,        0.363,        0.242,        0.673,         0.74,         0.53,        0.546,        0.224,       0.0102
       254, 40747.738,    0.002,        0.0004098,       6.0003e-06,        0.0004158,        0.335,        0.526,        0.193,        0.492,        0.586,        0.463,        0.434,        0.293,        0.697,        0.807,        0.644,         0.61,         1.04,       0.0474,       0.00032995,        2.895e-07,       0.00033024,        0.282,        0.472,        0.161,        0.428,        0.498,        0.351,        0.359,        0.243,        0.659,        0.728,         0.51,        0.535,         0.24,       0.0109
       255, 40902.555,    0.002,       0.00038961,       6.0296e-06,       0.00039564,        0.333,        0.513,        0.191,        0.493,        0.574,        0.458,        0.429,        0.269,         0.69,        0.788,        0.638,        0.596,         1.09,       0.0494,       0.00035868,       2.9893e-07,       0.00035898,        0.292,        0.492,        0.166,        0.446,        0.511,        0.368,        0.373,        0.245,        0.691,         0.75,        0.551,        0.559,        0.208,      0.00943
       256, 41056.733,    0.002,       0.00046564,        7.706e-06,       0.00047334,         0.35,         0.56,        0.198,        0.514,        0.614,        0.504,        0.457,        0.304,        0.737,        0.855,        0.733,        0.657,         1.17,       0.0534,       0.00035524,       9.9092e-07,       0.00035623,        0.293,        0.489,        0.171,        0.444,        0.506,        0.363,        0.371,         0.25,         0.68,        0.751,        0.555,        0.559,        0.511,       0.0232
       257, 41211.425,    0.002,       0.00040338,       8.7778e-06,       0.00041216,        0.321,        0.521,        0.182,        0.473,         0.56,        0.454,        0.417,        0.255,        0.701,        0.796,        0.703,        0.614,         1.21,       0.0552,        0.0003432,       4.2331e-07,       0.00034363,        0.287,        0.481,        0.163,         0.44,        0.505,        0.354,        0.365,        0.244,        0.673,        0.755,        0.508,        0.545,        0.317,       0.0144
       258, 41366.708,    0.002,       0.00044522,       7.9655e-06,       0.00045318,        0.335,        0.548,        0.191,        0.494,        0.581,        0.478,        0.436,         0.28,        0.734,        0.822,        0.733,        0.642,         1.18,       0.0536,       0.00032316,       2.2458e-07,       0.00032339,        0.275,        0.467,        0.157,        0.416,        0.488,        0.343,        0.351,        0.234,        0.646,        0.739,        0.521,        0.535,        0.178,      0.00807
       259, 41521.714,    0.002,       0.00041278,       7.6934e-06,       0.00042047,        0.334,        0.528,        0.193,        0.489,        0.576,        0.467,        0.431,        0.286,        0.702,        0.793,        0.679,        0.615,         1.11,       0.0505,       0.00040036,       5.2944e-07,       0.00040089,        0.312,         0.52,        0.177,        0.474,         0.54,        0.408,          0.4,        0.259,        0.725,        0.786,        0.609,        0.595,        0.337,       0.0153
       260, 41679.132,    0.002,       0.00037826,       6.8955e-06,       0.00038516,        0.311,        0.505,        0.177,        0.456,        0.543,        0.445,        0.405,        0.284,        0.659,        0.755,        0.672,        0.592,         1.09,       0.0497,       0.00033407,       1.8725e-07,       0.00033426,         0.28,        0.475,         0.16,        0.424,        0.488,         0.36,        0.358,        0.241,        0.664,        0.738,        0.514,        0.539,         0.17,      0.00773
       261, 41833.762,    0.002,       0.00036199,       5.7343e-06,       0.00036772,        0.318,        0.494,        0.184,         0.47,        0.552,        0.428,        0.408,        0.255,        0.669,        0.763,        0.606,        0.574,         1.01,       0.0459,       0.00037072,       7.9682e-07,       0.00037152,        0.299,          0.5,        0.168,        0.461,        0.543,        0.355,        0.382,        0.249,        0.698,        0.814,        0.506,        0.567,        0.464,       0.0211
       262, 41987.838,    0.002,       0.00055854,       1.5107e-05,       0.00057364,        0.349,        0.614,        0.197,        0.512,         0.62,        0.507,        0.459,        0.296,        0.803,         0.98,         0.85,        0.732,         1.44,       0.0653,        0.0003578,       2.5337e-06,       0.00036033,        0.301,        0.491,         0.18,        0.447,        0.503,        0.384,        0.378,        0.266,        0.673,         0.74,         0.57,        0.562,        0.865,       0.0393
       263, 42144.773,    0.002,       0.00036475,       7.6339e-06,       0.00037239,        0.315,        0.496,        0.184,         0.46,        0.543,        0.437,        0.406,        0.268,        0.661,         0.75,        0.632,        0.578,         1.18,       0.0535,       0.00033356,       2.0261e-07,       0.00033376,         0.28,        0.474,        0.159,        0.427,        0.477,        0.363,        0.357,        0.237,        0.665,        0.708,        0.552,        0.541,        0.169,      0.00769
       264, 42302.766,    0.002,       0.00046536,       7.3692e-06,       0.00047273,        0.342,         0.56,          0.2,          0.5,        0.596,        0.469,        0.441,        0.321,        0.727,        0.859,        0.713,        0.655,          1.1,         0.05,        0.0003805,       3.1587e-07,       0.00038081,          0.3,        0.506,        0.169,        0.456,        0.518,          0.4,        0.386,        0.253,        0.696,        0.793,        0.598,        0.585,         0.23,       0.0105
       265, 42457.932,    0.002,       0.00043761,       8.1779e-06,       0.00044579,        0.335,        0.543,         0.19,        0.495,        0.586,         0.47,        0.435,         0.27,         0.73,        0.846,        0.703,        0.637,         1.19,        0.054,       0.00032146,       2.8267e-07,       0.00032175,        0.279,        0.466,        0.162,        0.423,        0.479,        0.346,        0.352,        0.243,        0.651,        0.707,        0.506,        0.527,        0.176,      0.00799
       266, 42612.908,    0.002,       0.00043555,       8.2173e-06,       0.00044377,        0.324,        0.542,        0.185,        0.477,        0.581,        0.446,        0.422,        0.272,        0.715,        0.871,        0.704,         0.64,         1.12,       0.0508,       0.00034268,        1.909e-07,       0.00034287,        0.283,        0.481,        0.164,        0.425,        0.501,        0.348,         0.36,        0.249,        0.662,        0.768,        0.515,        0.548,        0.194,      0.00882
       267, 42765.413,    0.002,       0.00048584,       1.2261e-05,        0.0004981,        0.342,        0.572,        0.195,        0.501,        0.597,        0.494,        0.447,        0.296,        0.741,        0.871,        0.819,        0.682,         1.18,       0.0536,       0.00034418,       1.5812e-07,       0.00034433,        0.282,        0.482,        0.162,        0.426,        0.493,         0.36,         0.36,        0.245,        0.662,        0.763,        0.546,        0.554,        0.159,      0.00721
       268, 42914.641,    0.002,       0.00035812,       4.6699e-06,       0.00036279,        0.296,        0.491,        0.175,        0.431,         0.51,        0.409,        0.381,        0.293,        0.639,        0.736,        0.613,         0.57,          0.9,       0.0409,         0.000338,       2.4609e-07,       0.00033825,        0.281,        0.477,        0.161,        0.426,        0.486,        0.359,        0.358,         0.24,        0.666,        0.736,        0.537,        0.545,        0.191,      0.00869
