epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        17, 2874.036,    0.002,        0.0059321,       0.00014823,        0.0060803,         1.18,            2,        0.667,         1.74,         2.02,         1.78,         1.55,        0.948,          2.6,         2.91,         3.14,          2.4,         4.68,        0.213,        0.0037836,       1.7168e-05,        0.0038008,        0.946,          1.6,        0.503,         1.44,          1.4,         1.66,         1.25,        0.697,         2.13,         2.09,         2.67,          1.9,         2.05,       0.0933
        18, 3038.700,    0.002,        0.0028762,       6.8751e-05,        0.0029449,        0.904,         1.39,        0.548,         1.33,         1.48,         1.21,         1.14,        0.772,         1.85,         2.03,         1.83,         1.62,          3.3,         0.15,         0.001302,       2.1338e-06,        0.0013042,        0.621,        0.937,        0.391,        0.924,        0.966,        0.751,        0.758,        0.543,         1.29,         1.34,         1.05,         1.05,        0.632,       0.0287
        19, 3209.302,    0.002,        0.0035871,       7.9186e-05,        0.0036662,         0.98,         1.56,        0.576,         1.45,         1.65,         1.33,         1.25,         0.84,         2.07,         2.33,         2.02,         1.82,         3.59,        0.163,        0.0012768,       2.4928e-06,        0.0012792,        0.616,        0.928,        0.388,        0.917,         0.98,        0.713,         0.75,        0.538,         1.29,         1.33,        0.992,         1.04,        0.728,       0.0331
        20, 3372.109,    0.002,         0.003481,        8.949e-05,        0.0035705,            1,         1.53,        0.585,         1.48,          1.7,         1.38,         1.29,        0.796,         2.06,         2.32,         1.99,         1.79,         3.91,        0.178,        0.0013146,        5.114e-06,        0.0013197,        0.625,        0.941,        0.387,        0.925,         1.02,        0.766,        0.773,        0.536,         1.29,         1.38,         1.06,         1.07,         1.08,       0.0489
        21, 3535.512,    0.002,        0.0035982,       6.7534e-05,        0.0036657,         1.01,         1.56,        0.605,         1.46,         1.65,         1.41,         1.28,        0.885,         2.05,         2.25,         2.07,         1.81,         3.43,        0.156,        0.0012311,       1.7447e-06,        0.0012329,        0.603,        0.911,        0.376,        0.889,        0.968,        0.741,        0.744,        0.522,         1.25,         1.32,         1.05,         1.03,        0.558,       0.0254
        22, 3700.679,    0.002,        0.0033062,       7.4543e-05,        0.0033807,        0.953,         1.49,        0.544,         1.41,         1.63,         1.34,         1.23,        0.818,         1.98,         2.21,         1.97,         1.74,          3.6,        0.164,        0.0017552,       7.5328e-06,        0.0017628,        0.704,         1.09,        0.414,         1.04,         1.16,        0.961,        0.896,        0.567,         1.47,         1.59,         1.44,         1.27,         1.31,       0.0595
        23, 3863.220,    0.002,        0.0026918,       5.8611e-05,        0.0027504,        0.892,         1.35,        0.517,         1.32,          1.5,         1.24,         1.14,        0.724,         1.81,         1.99,         1.75,         1.57,         3.26,        0.148,         0.001256,       3.8744e-06,        0.0012599,        0.605,         0.92,        0.375,        0.902,        0.966,        0.737,        0.745,         0.52,         1.28,         1.33,         1.01,         1.03,        0.915,       0.0416
        24, 4028.088,    0.002,        0.0031113,       5.7022e-05,        0.0031684,        0.926,         1.45,        0.529,         1.38,         1.58,         1.29,          1.2,        0.722,         1.96,         2.19,          1.9,         1.69,         3.26,        0.148,        0.0015881,       6.4897e-06,        0.0015946,        0.659,         1.03,        0.395,        0.984,         1.09,        0.837,        0.826,        0.547,         1.42,         1.58,          1.2,         1.19,          1.3,       0.0591
        25, 4190.358,    0.002,         0.003365,       0.00011077,        0.0034758,        0.938,         1.51,        0.533,          1.4,         1.58,         1.33,         1.21,        0.744,         2.03,         2.18,         2.13,         1.77,         3.43,        0.156,        0.0011842,       1.6989e-06,        0.0011859,        0.587,        0.893,        0.366,        0.869,        0.924,        0.729,        0.722,        0.507,         1.23,         1.31,            1,         1.01,        0.551,        0.025
        26, 4354.994,    0.002,        0.0030336,       5.8607e-05,        0.0030922,        0.859,         1.43,         0.49,         1.27,          1.5,         1.21,         1.12,        0.678,         1.88,         2.22,         2.04,         1.71,         2.99,        0.136,        0.0010931,       1.3417e-06,        0.0010945,        0.565,        0.858,        0.349,        0.843,        0.909,         0.68,        0.695,        0.483,         1.19,         1.25,        0.938,        0.967,        0.498,       0.0227
